,Rating,Artist,Album,Date,,,,,,,,
0,5.9,Willard Grant Conspiracy,Everything's Fine,3/31/2001,,,,,,,,
1,8.5,The Soft Boys,Underwater Moonlight,3/31/2001,,,,,,,,
2,8.8,Autechre,Confield,4/17/2001,,,,,,,,
3,8.3,Bows,Cassidy,4/16/2001,,,,,,,,
4,8,Red House Painters,Old Ramon,4/10/2001,,,,,,,,
5,8.2,Califone,Roomsound,4/10/2001,,,,,,,,
6,8.3,Various Artists,Clicks + Cuts 2,4/7/2001,,,,,,,,
7,7.5,Bardo Pond,Dilate,4/24/2001,,,,,,,,
8,9,Unwound,Leaves Turn Inside You,4/17/2001,,,,,,,,
9,5.2,Stereophonics,Just Enough Education to Perform,4/17/2001,,,,,,,,
10,7,Seafood,Surviving the Quiet,4/17/2001,,,,,,,,
11,8.6,Firewater,Psychopharmacology,4/17/2001,,,,,,,,
12,7,Jason Falkner,Necessity: The Four-Track years,4/24/2001,,,,,,,,
13,8.5,The Ex,Dizzy Spells,4/24/2001,,,,,,,,
14,8.3,Alejandro Escovedo,A Man Under the Influence,4/24/2001,,,,,,,,
15,6.8,Danielson Famile,"Fetch the Compass, Kids",4/24/2001,,,,,,,,
16,8,cLOUDDEAD,cLOUDDEAD,4/24/2001,,,,,,,,
17,7.1,AM/FM,Mutilate Us,4/30/2001,,,,,,,,
18,5.2,Otto Von Schirach,8000 B.C.,4/24/2001,,,,,,,,
19,8.1,Caetano Veloso,Noites do Norte,4/24/2001,,,,,,,,
20,9.1,U.S. Maple,Acre Thrills,4/24/2001,,,,,,,,
21,9,OOIOO,Feather Float,4/24/2001,,,,,,,,
22,9.6,Mouse on Mars,Idiology,4/30/2001,,,,,,,,
23,8,Mogwai,Rock Action,4/30/2001,,,,,,,,
24,2.2,Joan of Arc,How Can Any Thing So Little Be Any More EP,4/30/2001,,,,,,,,
25,8.2,Missy Elliott,Miss E: So Addictive,4/30/2001,,,,,,,,
26,4.7,Cousteau,Cousteau,4/30/2001,,,,,,,,
27,5,R.E.M.,Reveal,5/14/2001,,,,,,,,
28,8,Mark Lanegan,Field Songs,5/8/2001,,,,,,,,
29,6.7,Juno,A Future Lived in Past Tense,5/8/2001,,,,,,,,
30,8,David Byrne,Look into the Eyeball,5/8/2001,,,,,,,,
31,7.4,Burning Airlines,Identikit,5/8/2001,,,,,,,,
32,1.9,Tool,Lateralus,5/15/2001,,,,,,,,
33,5.5,Depeche Mode,Exciter,5/15/2001,,,,,,,,
34,7.4,Cowboy Junkies,Open,5/15/2001,,,,,,,,
35,8.3,Cannibal Ox,The Cold Vein,5/15/2001,,,,,,,,
36,4,Weezer,Weezer (Green Album),5/14/2001,,,,,,,,
37,8.6,Calexico,Even My Sure Things Fall Through EP,5/22/2001,,,,,,,,
38,7.8,Oval,Ovalcommers,5/22/2001,,,,,,,,
39,8.1,Tindersticks,Can Our Love...,5/21/2001,,,,,,,,
40,8,Squarepusher,My Red Hot Car EP,5/21/2001,,,,,,,,
41,7.3,The Rapture,Out of the Races and Onto the Tracks EP,5/21/2001,,,,,,,,
42,7,Portastatic,Looking for Leonard,5/22/2001,,,,,,,,
43,6.2,Barbara Manning,You Should Know by Now,5/22/2001,,,,,,,,
44,6.8,The Ladybug Transistor,Argyle Heir,5/22/2001,,,,,,,,
45,9.1,Mark Eitzel,The Invisible Man,5/22/2001,,,,,,,,
46,8,Echo and the Bunnymen,Flowers,5/22/2001,,,,,,,,
47,2.6,Anasazi,Calculating Components and Compound Formulas for Mass Population Reconstruction,5/31/2001,,,,,,,,
48,7.6,Plaid,Double Figure,5/29/2001,,,,,,,,
49,7.6,Air,"10,000 Hz Legend",5/28/2001,,,,,,,,
50,8.1,Whiskeytown,Pneumonia,5/22/2001,,,,,,,,
51,8.4,Third Eye Foundation,I Poo Poo on Your Juju,5/22/2001,,,,,,,,
52,8.5,Ted Leo and the Pharmacists,The Tyranny of Distance,5/31/2001,,,,,,,,
53,5,Kleenexgirlwonder,The Smith Album,5/31/2001,,,,,,,,
54,5.2,Hefner,We Love the City,5/31/2001,,,,,,,,
55,7,Gorillaz,Gorillaz,5/31/2001,,,,,,,,
56,8,Bonny Billy,More Revery EP,5/31/2001,,,,,,,,
57,8.4,Mahogany,The Dream of a Modern Day,6/5/2001,,,,,,,,
58,8.8,Matthew Herbert,Bodily Functions,6/5/2001,,,,,,,,
59,9,Radiohead,Amnesiac,6/4/2001,,,,,,,,
60,8,Of Montreal,Coquelicot Asleep in the Poppies: A Variety of Whimsical Verse,5/31/2001,,,,,,,,
61,7.9,Mercury Program,All the Suits Began to Fall Off EP,5/31/2001,,,,,,,,
62,8.6,Spring Heel Jack,Masses,6/5/2001,,,,,,,,
63,7.5,Neu!,Neu! 2,6/5/2001,,,,,,,,
64,8.5,Neu!,Neu! '75,6/5/2001,,,,,,,,
65,9.7,Neu!,Neu!,6/5/2001,,,,,,,,
66,7.1,My Morning Jacket,At Dawn,6/5/2001,,,,,,,,
67,8.8,Summer Hymns,A Celebratory Arm Gesture,6/18/2001,,,,,,,,
68,8,Bablicon,"A Flat Inside a Fog, The Cat That Was a Dog",6/18/2001,,,,,,,,
69,6.1,Beans,Crane Wars,6/15/2001,,,,,,,,
70,8,John Vanderslice,Time Travel is Lonely,6/12/2001,,,,,,,,
71,6.1,Travis,The Invisible Band,6/12/2001,,,,,,,,
72,7.2,Pernice Brothers,The World Won't End,6/19/2001,,,,,,,,
73,7.9,Jeff Mangum,Live at Jittery Joe's,6/19/2001,,,,,,,,
74,8.3,Simon Joyner,Hotel Lives,6/19/2001,,,,,,,,
75,6.3,Jad Fair,It's Spooky,6/19/2001,,,,,,,,
76,7.4,Chicago Underground Quartet,Chicago Underground Quartet,6/19/2001,,,,,,,,
77,7.5,The Walkmen,The Walkmen,6/26/2001,,,,,,,,
